X,Species,Family,Order,Habitat.tiering,Motility,Feeding.mode,Mode.of.life,Ecology.reference,iucn,risk
101,Galago moholi,Galagonidae,Primates,2,3,1,231,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Skinner, J. D., Chimimba, C. T. 2005. The Mammals of Southern African Subregion. Cambridge University Press, Cape Town, South Africa. ",LC,0
102,Galagoides demidoff,Galagonidae,Primates,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
103,Cryptoprocta ferox,Herpestidae,Carnivora,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",VU,1
104,Arctocebus aureus,Loridae,Primates,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
105,Arctocebus calabarensis,Loridae,Primates,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
106,Loris tardigradus,Loridae,Primates,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",EN,1
107,Nycticebus pygmaeus,Loridae,Primates,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Beacham W., Beetz KH. 1998. Beacham's guide to international endangered species. Beacham Publishing Group. Osprey, Florida.",EN,1
109,Cardioderma cor,Megadermatidae,Chiroptera,2,6,1,261,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
110,Lavia frons,Megadermatidae,Chiroptera,2,6,1,261,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
111,Macroderma gigas,Megadermatidae,Chiroptera,2,6,1,261,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",VU,1
113,Megaderma spasma,Megadermatidae,Chiroptera,2,6,1,261,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
114,Dromiciops gliroides,Microbiotheriidae,Microbiotheria,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
